osmid,highway,maxspeed,name,oneway,reversed,length,lanes,ref,junction,bridge,width,tunnel,access,building_density,vegetation_score,vehicle_count,avg_speed_kmph,wind_speed_mps,wind_dir_deg,temperature_k,humidity_pct,weather_description,weather_source,pm2_5_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,so2_ugm3,co_ugm3,openweather_aqi_1to5,AQI,aqi_source,carbon_cost
"[1393837459, 27553223]",secondary,40,Mirza Ghalib Street,False,True,103.50622270152182,,,,,,,,8,0,124,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1600.3725937986446
27553232,tertiary,40,Royd Street,False,True,197.0210883230648,,,,,,,,16,0,67,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1684.249550117441
27553135,primary,,Chowringhee Road,True,False,6.92267278468754,,,,,,,,1,2,149,28,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,142.9773893902132
1124087857,secondary,,,True,False,15.379838187643832,,,,,,,,1,2,64,51,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,137.31715728110464
1387720855,primary,40,AJC Bose Road,True,False,8.165729074346435,4,SH1,,,,,,12,0,145,32,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,222.283685893628
1342319512,tertiary,,,True,False,10.519623714316557,,,,,,,,11,0,77,38,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,172.40132312028499
1126518490,secondary,40,Lenin Sarani,True,False,57.540126786708335,,,,,,,,10,10,100,31,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,730.6815214405
"[1126837958, 1252704830]",primary,,Chowringhee Road,True,False,97.76008551586916,,,,,,,,11,4,198,53,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2385.979631857051
102690993,secondary,40,Lenin Sarani,True,False,33.895079495672995,,,,,,,,7,0,43,36,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,230.09861019767266
106086746,tertiary,40,Taltola Ln,False,True,169.50206421225144,,,,,,,,28,0,107,56,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2336.6065044853085
1286161073,primary,40,AJC Bose Road,True,False,9.347534234986304,4,SH1,,,,,,5,0,136,42,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,197.75175871497646
52152323,tertiary,40,Esplanade Row West,False,True,141.66955159585643,,,,,,,,6,1,185,45,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3192.2640454280127
563518385,secondary,40,Strand Road,False,False,168.85815376849087,,,,,,,,6,0,137,53,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2826.2280479539895
563518385,secondary,40,Strand Road,False,True,202.59697046853753,,,,,,,,7,1,84,20,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2094.3774623228583
562645426,secondary,40,Queensway,False,False,9.126681459033373,,,,,,,,1,4,82,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,103.00654555688838
27553386,secondary,40,Cathedral Road,False,True,13.872389034860058,,,,,,,,1,4,90,26,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,163.0218015764886
562645427,secondary,40,Queensway,False,False,418.3234589307933,,,,,,,,1,5,189,52,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,9497.776048550393
112025098,secondary,,Victoria Circus,False,True,71.56642796808583,,,,,,,,0,2,110,43,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,958.876849178733
562645428,secondary,40,Victoria Circus,False,False,58.52629307197009,,,,,,,,0,2,43,52,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,316.19567225136564
562645429,secondary,40,Queensway,False,True,122.59857214917517,,,,,,,,0,2,176,54,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2603.481843790579
36165828,secondary,40,Queensway,False,False,103.29859718049723,,,,,,,,0,2,33,52,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,423.262444834769
112044499,secondary,,Queensway,False,True,58.006305386419356,,,,,,,,0,2,67,56,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,480.5706953068116
562645429,secondary,40,Queensway,False,False,122.59857214917517,,,,,,,,0,2,69,35,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1029.3161773951704
112044532,secondary,,Casurina Avenue,True,False,76.26632171230885,,,,,,,,0,2,79,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,737.2047298326879
112044499,secondary,,Queensway,False,False,58.006305386419356,,,,,,,,0,2,50,58,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,362.2378323185161
112044532,secondary,,Casurina Avenue,True,False,570.7667837591164,,,,,,,,0,2,119,44,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,8164.749672080181
563186187,secondary,,Khidderpur Road,True,False,375.3837079435914,,,,,,,,0,3,183,20,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,8254.626226441267
36920280,secondary,,,True,False,69.51330356885035,,,,,,,,0,3,35,58,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,303.1558749891715
36920280,secondary,,,True,False,12.322634470489689,,,,,,,,0,2,22,58,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,46.73175500209278
52097804,secondary,40,Indira Gandhi Sarani,True,False,889.216810584138,,,,,,,,1,3,107,25,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,11433.743847900332
647934898,secondary,40,Dufferin Road,False,True,649.5563792056671,,,,,,,,0,2,37,20,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2898.2303236731614
1126613581,secondary,,,True,False,17.654929531428824,,,roundabout,,,,,0,1,71,37,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,167.6199996077736
205078950,primary,,Vidyapati Flyover,True,False,10.281480550453033,,,,viaduct,,,,6,0,189,33,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,283.38397888427477
105833316,primary,40,Vidyapati Flyover,True,False,329.06488480858854,,SH1,,viaduct,,,,25,0,34,56,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1487.7847300190413
"[1065785665, 689102809, 103625259]","['residential', 'living_street']",,,False,"[False, True]",117.29680768002153,,,,,,,,30,0,32,46,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,620.6197414912826
749323218,secondary,40,Surya Sen Street,True,False,177.76631713315362,2,,,,,,,32,0,148,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3337.329792284808
50219795,residential,,,False,False,39.55002317143192,,,,,,,,14,0,55,25,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,351.2301529314506
50219795,residential,,,False,True,29.16489589793858,,,,,,,,14,0,67,31,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,324.6857630194262
103625256,residential,,,False,True,80.68796833830169,,,,,,,,25,0,195,48,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2033.2984591162597
