u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,maxspeed,ref,bridge,width,junction,access,tunnel,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
293685335,293685300,0,162339446,residential,,,False,True,38.12299161627402,"LINESTRING (9840506.074283656 2582745.264381074, 9840528.427237408 2582710.4915541545)",,,,,,,,40,0,6.57,204,300.0,65.0,3,54,12,5.0,265.6971079274346
2030023038,293685300,0,162339446,residential,,,False,False,21.432421572460054,"LINESTRING (9840540.093520043 2582690.3923146664, 9840528.427237408 2582710.4915541545)",,,,,,,,31,0,6.57,204,300.0,65.0,3,54,24,5.0,227.52537412868497
293685305,1662343218,0,26774681,residential,,,False,True,41.20587878463039,"LINESTRING (9840221.964679254 2582718.9436111413, 9840259.50161155 2582743.1784916907)",,,,,,,,30,0,6.57,204,300.0,65.0,3,54,32,5.0,319.0305745329807
293685305,5524944759,0,162339447,residential,,,False,False,44.55557862147739,"LINESTRING (9840221.964679254 2582718.9436111413, 9840247.17854392 2582677.732338276)",,,,,,,,28,2,6.57,204,300.0,65.0,3,54,72,5.0,529.7601992895645
293685305,1663272153,0,153698922,residential,,,False,True,56.51850000300544,"LINESTRING (9840221.964679254 2582718.9436111413, 9840182.7134268 2582694.3349949988, 9840170.26790773 2582686.0396931227)",,,,,,,,38,0,6.57,204,300.0,65.0,3,54,34,5.0,431.3954800122622
1662343218,293685305,0,26774681,residential,,,False,False,41.20587878463039,"LINESTRING (9840259.50161155 2582743.1784916907, 9840221.964679254 2582718.9436111413)",,,,,,,,30,0,6.57,204,300.0,65.0,3,54,53,5.0,422.8693890702493
1662343218,293685311,0,153581833,residential,,,False,True,44.301295718827134,"LINESTRING (9840259.50161155 2582743.1784916907, 9840270.86733156 2582726.419043159, 9840285.227545872 2582702.630301019)",,,,,,,,34,2,6.57,204,300.0,65.0,3,54,11,5.0,233.27771034885183
5524944759,1662341075,0,162339447,residential,,,False,False,36.340411211079804,"LINESTRING (9840247.17854392 2582677.732338276, 9840267.739253867 2582644.117133525)",,,,,,,,26,2,6.57,204,300.0,65.0,3,54,17,5.0,208.9344388706028
5524944759,293685305,0,162339447,residential,,,False,True,44.55557862147739,"LINESTRING (9840247.17854392 2582677.732338276, 9840221.964679254 2582718.9436111413)",,,,,,,,28,2,6.57,204,300.0,65.0,3,54,32,5.0,315.8934219064732
5524944759,293685311,0,26774683,residential,,,False,False,41.93520743562986,"LINESTRING (9840247.17854392 2582677.732338276, 9840269.019428011 2582692.0320837423, 9840285.227545872 2582702.630301019)",,,,,,,,35,2,6.57,204,300.0,65.0,3,54,59,5.0,476.7012686442594
1663272153,293685305,0,153698922,residential,,,False,False,56.51850000300544,"LINESTRING (9840170.26790773 2582686.0396931227, 9840182.7134268 2582694.3349949988, 9840221.964679254 2582718.9436111413)",,,,,,,,38,0,6.57,204,300.0,65.0,3,54,10,5.0,268.62220000360657
1663272153,2005373612,0,191031771,secondary,,,True,False,211.91388160550372,"LINESTRING (9840170.26790773 2582686.0396931227, 9840176.657646501 2582679.094792414, 9840188.001102615 2582662.6730075027, 9840211.289140088 2582628.032981437, 9840231.894377833 2582593.1036583357, 9840251.976413973 2582555.256607966, 9840272.570519768 2582512.213077959, 9840284.214538505 2582487.267172847)",40,,,,,,,59,0,6.57,204,300.0,65.0,3,54,66,31.0,1984.1579423155893
293685311,293685322,0,162339450,residential,,,False,False,37.07845529430693,"LINESTRING (9840285.227545872 2582702.630301019, 9840306.6454159 2582668.6051041433)",,,,,,,,30,2,6.57,204,300.0,65.0,3,54,33,5.0,301.63068296545543
293685311,5524944759,0,26774683,residential,,,False,True,41.93520743562986,"LINESTRING (9840285.227545872 2582702.630301019, 9840269.019428011 2582692.0320837423, 9840247.17854392 2582677.732338276)",,,,,,,,35,2,6.57,204,300.0,65.0,3,54,46,5.0,411.28234504467684
293685311,1662343218,0,153581833,residential,,,False,False,44.301295718827134,"LINESTRING (9840285.227545872 2582702.630301019, 9840270.86733156 2582726.419043159, 9840259.50161155 2582743.1784916907)",,,,,,,,34,2,6.57,204,300.0,65.0,3,54,56,5.0,472.50470723051836
293685322,1662341075,0,26774684,residential,,,False,False,42.396347530722394,"LINESTRING (9840306.6454159 2582668.6051041433, 9840267.739253867 2582644.117133525)",,,,,,,,35,2,6.57,204,300.0,65.0,3,54,29,5.0,327.33928940691396
293685322,293685331,0,162339450,residential,,,False,False,40.409141472146324,"LINESTRING (9840306.6454159 2582668.6051041433, 9840330.356467439 2582631.758619477)",,,,,,,,29,2,6.57,204,300.0,65.0,3,54,11,5.0,203.14006674323315
293685322,293685311,0,162339450,residential,,,False,True,37.07845529430693,"LINESTRING (9840306.6454159 2582668.6051041433, 9840285.227545872 2582702.630301019)",,,,,,,,30,2,6.57,204,300.0,65.0,3,54,25,5.0,266.03536588292076
1662341075,293685322,0,26774684,residential,,,False,True,42.396347530722394,"LINESTRING (9840267.739253867 2582644.117133525, 9840306.6454159 2582668.6051041433)",,,,,,,,35,2,6.57,204,300.0,65.0,3,54,27,5.0,317.16416599954056
1662341075,5524944759,0,162339447,residential,,,False,True,36.340411211079804,"LINESTRING (9840267.739253867 2582644.117133525, 9840247.17854392 2582677.732338276)",,,,,,,,26,2,6.57,204,300.0,65.0,3,54,74,5.0,457.50285155438866
1662341075,1662341079,0,"[162339437, 162339447]",residential,,,False,False,122.5353955727862,"LINESTRING (9840267.739253867 2582644.117133525, 9840312.300446033 2582571.280404362, 9840312.890439335 2582570.870465059, 9840313.636279924 2582571.003092479, 9840352.219615433 2582596.0576369064)",,,,,,,,55,2,6.57,204,300.0,65.0,3,54,31,5.0,735.6316715307646
293685331,293685335,0,26774686,residential,,,False,False,192.92213628658592,"LINESTRING (9840330.356467439 2582631.758619477, 9840506.074283656 2582745.264381074)",,,,,,,,109,1,6.57,204,300.0,65.0,3,54,45,5.0,1594.579535947564
293685331,1662341079,0,162339450,residential,,,False,False,38.608235139583925,"LINESTRING (9840330.356467439 2582631.758619477, 9840352.219615433 2582596.0576369064)",,,,,,,,32,1,6.57,204,300.0,65.0,3,54,21,5.0,265.0927525517515
293685331,293685322,0,162339450,residential,,,False,True,40.409141472146324,"LINESTRING (9840330.356467439 2582631.758619477, 9840306.6454159 2582668.6051041433)",,,,,,,,29,2,6.57,204,300.0,65.0,3,54,51,5.0,397.1039458095355
302476653,9914104086,0,1126704636,primary,4,AJC Bose Road,True,False,14.960610399144498,"LINESTRING (9836978.393016266 2579059.4604789545, 9836973.03854876 2579044.1512835557)",40,SH1,,,,,,6,0,6.57,204,300.0,65.0,3,54,60,27.0,148.5163948738404
302476653,1219108159,0,"[27553089, 1392018925]",secondary,,Dr Lal Mohan Battacharya Road,True,False,122.89290545085352,"LINESTRING (9836978.393016266 2579059.4604789545, 9836979.227912446 2579058.83364548, 9836992.886813968 2579049.3467648234, 9837087.786679868 2578983.4209292047)",40,,,,,,,14,0,6.57,204,300.0,65.0,3,54,47,31.0,773.9159867428137
9914104086,10302573051,0,1126744155,secondary,,Acharya Jagadish Chandra Bose Road,True,False,11.137965062536905,"LINESTRING (9836973.03854876 2579044.1512835557, 9836962.173766457 2579049.41909172)",,,,,,,,5,0,6.57,204,300.0,65.0,3,54,12,5.0,51.83866969005314
9914104086,302478906,0,1126744154,primary,4,AJC Bose Road,True,False,61.02427662176668,"LINESTRING (9836973.03854876 2579044.1512835557, 9836967.895588284 2579029.4448256623, 9836951.186532715 2578981.709199527)",40,SH1,,,,,,11,0,6.57,204,300.0,65.0,3,54,47,29.0,409.9769201467641
1219108159,1219155143,0,27553089,secondary,,Dr Lal Mohan Battacharya Road,True,False,17.187879381267567,"LINESTRING (9837087.786679868 2578983.4209292047, 9837103.404804425 2578973.259043624)",40,,,,,,,8,0,6.57,204,300.0,65.0,3,54,73,32.0,201.3658233799039
1219108159,1219108045,0,749320088,tertiary,,Convent Road,False,True,268.26158079989835,"LINESTRING (9837087.786679868 2578983.4209292047, 9837112.366023434 2578994.932918596, 9837166.055413844 2579003.28664992, 9837235.318401016 2578996.126308528, 9837301.074824227 2578991.0513882977, 9837339.99211821 2578988.0498328814, 9837373.677396124 2578979.6237826203)",,,,,,,,22,1,6.57,204,300.0,65.0,3,54,21,5.0,793.8191836157438
302476661,9914104094,0,1092364824,tertiary,,Dr Lal Mohan Battacharya Road,True,False,7.980769447507795,"LINESTRING (9837608.873216271 2578771.4570958028, 9837600.257087683 2578772.2406241056)",,,,,,,,8,0,6.57,204,300.0,65.0,3,54,20,5.0,69.9538466740187
302476661,302476662,0,1218509066,secondary,4,CIT Road (Dr. Sundari Mohan Avenue),True,False,122.71694946742679,"LINESTRING (9837608.873216271 2578771.4570958028, 9837606.83606959 2578749.9763804236, 9837596.327509658 2578639.017234787)",,,,,,,,26,1,6.57,204,300.0,65.0,3,54,63,5.0,1065.5401379737466
9914104094,9914104093,0,1204351764,secondary,,Dr Lal Mohan Battacharya Road,True,False,85.4893412298847,"LINESTRING (9837600.257087683 2578772.2406241056, 9837596.327509658 2578775.881017625, 9837510.377730817 2578791.286400349)",,,,,,,,17,0,6.57,204,300.0,65.0,3,54,37,5.0,475.3726750606881
302476662,9917506462,0,106074327,residential,,,False,True,8.897395005840744,"LINESTRING (9837596.327509658 2578639.017234787, 9837586.731769552 2578639.993623822)",,,,,,,,18,1,6.57,204,300.0,65.0,3,54,51,5.0,152.25205743574537
302476662,1219155059,0,1218509066,secondary,4,CIT Road (Dr. Sundari Mohan Avenue),True,False,99.38749928921771,"LINESTRING (9837596.327509658 2578639.017234787, 9837586.130644301 2578531.7594402456)",,,,,,,,37,1,6.57,204,300.0,65.0,3,54,66,5.0,979.9489943706043
302476662,1283735118,0,113114057,residential,,,False,False,93.21274329948193,"LINESTRING (9837596.327509658 2578639.017234787, 9837644.985259086 2578632.3753800313, 9837696.348072136 2578624.660706333)",,,,,,,,38,1,6.57,204,300.0,65.0,3,54,21,5.0,432.69611311469447
9917506462,302476662,0,106074327,residential,,,False,False,8.897395005840744,"LINESTRING (9837586.731769552 2578639.993623822, 9837596.327509658 2578639.017234787)",,,,,,,,18,1,6.57,204,300.0,65.0,3,54,52,5.0,153.31974483644626
9917506462,1221317060,0,106074327,residential,,,False,True,46.11707520631251,"LINESTRING (9837586.731769552 2578639.993623822, 9837536.983089117 2578644.935840806)",,,,,,,,23,1,6.57,204,300.0,65.0,3,54,51,5.0,405.03650026263256
9917506462,9914104094,0,1218509067,secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,122.62847319778297,"LINESTRING (9837586.731769552 2578639.993623822, 9837600.257087683 2578772.2406241056)",,,,,,,,27,1,6.57,204,300.0,65.0,3,54,13,5.0,334.1004181885414
1219155059,9917506461,0,106074325,residential,,,False,True,9.443206694550266,"LINESTRING (9837586.130644301 2578531.7594402456, 9837576.290001316 2578534.5801016414)",,,,,,,,19,0,6.57,204,300.0,65.0,3,54,36,5.0,146.59465292045715
1219155059,1283735407,0,113114064,residential,,,False,False,82.80808489376369,"LINESTRING (9837586.130644301 2578531.7594402456, 9837622.621173386 2578523.647027873, 9837674.251153214 2578514.7752114446)",,,,,,,,26,0,6.57,204,300.0,65.0,3,54,54,5.0,677.3963901115886
1219155059,1280447980,0,"[1218509066, 105874639]",secondary,4,CIT Road (Dr. Sundari Mohan Avenue),True,False,129.3814325385536,"LINESTRING (9837586.130644301 2578531.7594402456, 9837577.414328173 2578439.8832866764, 9837567.88537976 2578392.872593626)",,,,,,,,41,0,6.57,204,300.0,65.0,3,54,45,5.0,914.4597357081894
1283735118,302476662,0,113114057,residential,,,False,True,93.21274329948193,"LINESTRING (9837696.348072136 2578624.660706333, 9837644.985259086 2578632.3753800313, 9837596.327509658 2578639.017234787)",,,,,,,,38,1,6.57,204,300.0,65.0,3,54,33,5.0,566.9224634659483
302478473,1270367062,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,False,181.33159744107246,"LINESTRING (9836012.340211263 2579067.078918454, 9836008.744591711 2579049.575799998, 9836000.963359304 2579011.7247666297, 9835983.853553569 2578917.7967147054, 9835972.665944744 2578874.630009487)",40,,,,,,,23,0,6.57,204,300.0,65.0,3,54,79,29.0,1844.8235437413668
302478473,1270366911,0,27553236,secondary,,Surendra Nath Banerjee Road,True,False,90.93897428967837,"LINESTRING (9836012.340211263 2579067.078918454, 9835974.124230074 2579070.900194011, 9835915.380934782 2579083.9672754253)",40,,,,,,,12,0,6.57,204,300.0,65.0,3,54,71,27.0,845.6000609480596
302478473,1269047272,0,"[1126518489, 1527718515]",secondary,,,False,True,99.08450781684573,"LINESTRING (9836012.340211263 2579067.078918454, 9836015.323573615 2579081.6648645783, 9836026.789481167 2579137.875122104, 9836033.813741038 2579172.3270530677)",,,,,,,,18,0,6.57,204,300.0,65.0,3,54,69,5.0,921.2197247234825
1270367062,1221407530,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,False,178.6952276336272,"LINESTRING (9835972.665944744 2578874.630009487, 9835961.634183208 2578832.668848873, 9835960.26495347 2578826.6175784874, 9835928.583426392 2578686.01656957)",40,,,,,,,32,0,6.57,204,300.0,65.0,3,54,28,34.0,771.2159648489874
1270367062,302478473,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,True,181.33159744107246,"LINESTRING (9835972.665944744 2578874.630009487, 9835983.853553569 2578917.7967147054, 9836000.963359304 2579011.7247666297, 9836008.744591711 2579049.575799998, 9836012.340211263 2579067.078918454)",40,,,,,,,23,0,6.57,204,300.0,65.0,3,54,18,26.0,517.4762504727165
1270367062,1270366864,0,111524060,residential,,,False,True,100.01943253943904,"LINESTRING (9835972.665944744 2578874.630009487, 9835933.67072712 2578887.202707648, 9835919.76692272 2578892.434302973, 9835901.421470637 2578900.932635294, 9835870.730687026 2578911.2632380216)",,,,,,,,24,0,6.57,204,300.0,65.0,3,54,43,5.0,646.9002719035053
1270366911,1270249901,0,27553236,secondary,,Surendra Nath Banerjee Road,True,False,140.30626528521677,"LINESTRING (9835915.380934782 2579083.9672754253, 9835900.553178608 2579086.185305025, 9835866.010740615 2579095.551661541, 9835807.43442456 2579111.4515761277, 9835777.3002384 2579119.6245479975, 9835768.439206935 2579122.770781602)",40,,,,,,,21,0,6.57,204,300.0,65.0,3,54,18,27.0,418.8615330160682
1270366911,1270366864,0,111524067,residential,,,False,True,164.54747968773808,"LINESTRING (9835915.380934782 2579083.9672754253, 9835895.888891945 2579008.060212561, 9835879.591718493 2578945.196359833, 9835870.730687026 2578911.2632380216)",,,,,,,,20,0,6.57,204,300.0,65.0,3,54,45,5.0,999.3563903137856
1269047272,302478473,0,"[1126518489, 1527718515]",secondary,,,False,False,99.08450781684573,"LINESTRING (9836033.813741038 2579172.3270530677, 9836026.789481167 2579137.875122104, 9836015.323573615 2579081.6648645783, 9836012.340211263 2579067.078918454)",,,,,,,,18,0,6.57,204,300.0,65.0,3,54,18,5.0,314.8225368843868
1269047272,663826016,0,1126518489,secondary,,,False,True,75.72675558226783,"LINESTRING (9836033.813741038 2579172.3270530677, 9836036.975214574 2579184.3213564972, 9836045.86964189 2579253.442465705)",,,,,,,,17,1,6.57,204,300.0,65.0,3,54,11,5.0,192.75931736859354
1269047272,1269047339,0,"[1231300661, 1173960382]",residential,,Indian Mirror Street,False,True,110.5207788544983,"LINESTRING (9836033.813741038 2579172.3270530677, 9836079.20982938 2579153.7389134965, 9836106.071222512 2579144.9149790294, 9836146.257558689 2579131.1245771674)",40,,,,,,,20,0,6.57,204,300.0,65.0,3,54,72,35.0,1065.6995293028651
302478612,1221407446,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,False,68.65555156903719,"LINESTRING (9835831.768865248 2578175.335355524, 9835802.169012645 2578107.050440423)",40,,,,,,,16,1,6.57,204,300.0,65.0,3,54,21,35.0,260.8119899539737
302478612,1270245631,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,True,43.970914239806454,"LINESTRING (9835831.768865248 2578175.335355524, 9835833.316206168 2578183.0377669004, 9835841.153098322 2578222.068194255)",40,,,,,,,16,1,6.57,204,300.0,65.0,3,54,55,29.0,378.00803398272257
302478612,1221407506,0,111524657,residential,,Collin Street,False,False,54.71584349160447,"LINESTRING (9835831.768865248 2578175.335355524, 9835833.160358883 2578172.3701089034, 9835856.90480627 2578121.6114367507)",,,,,,,,20,1,6.57,204,300.0,65.0,3,54,48,5.0,422.9632585116417
302478612,10596151235,0,111524657,residential,,Collin Street,False,True,183.249195257697,"LINESTRING (9835831.768865248 2578175.335355524, 9835809.872321408 2578194.1152630677, 9835787.786534436 2578220.392704602, 9835777.645328823 2578238.9074773346, 9835775.26309172 2578280.710438462, 9835779.671343556 2578353.070310746)",,,,,,,,32,1,6.57,204,300.0,65.0,3,54,63,5.0,1553.1639161481892
1221407446,302478612,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,True,68.65555156903719,"LINESTRING (9835802.169012645 2578107.050440423, 9835831.768865248 2578175.335355524)",40,,,,,,,16,1,6.57,204,300.0,65.0,3,54,23,35.0,277.28932233054263
1221407446,302478667,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,False,117.63001129042885,"LINESTRING (9835802.169012645 2578107.050440423, 9835790.235563233 2578076.8918610974, 9835752.164297381 2577989.767383607)",40,,,,,,,14,1,6.57,204,300.0,65.0,3,54,29,28.0,487.1524392906924
1221407446,1221407506,0,106086721,secondary,,Muzaffar Ahmed Street,False,False,52.24931723680293,"LINESTRING (9835802.169012645 2578107.050440423, 9835804.66256924 2578107.7133994163, 9835856.90480627 2578121.6114367507)",40,,,,,,,21,1,6.57,204,300.0,65.0,3,54,42,31.0,376.13655887348676
1270245631,302478612,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,False,43.970914239806454,"LINESTRING (9835841.153098322 2578222.068194255, 9835833.316206168 2578183.0377669004, 9835831.768865248 2578175.335355524)",40,,,,,,,16,1,6.57,204,300.0,65.0,3,54,25,27.0,219.71274271941937
1270245631,10596151236,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,True,108.8906089936512,"LINESTRING (9835841.153098322 2578222.068194255, 9835853.86578417 2578285.339146502, 9835859.387230912 2578312.8341809786, 9835864.15170512 2578337.846143545)",40,,,,,,,36,0,6.57,204,300.0,65.0,3,54,16,29.0,399.8699692678103
1270245631,1270245635,0,111507358,residential,,AK Md Siddique Ln,False,False,157.59749600698362,"LINESTRING (9835841.153098322 2578222.068194255, 9835842.956474073 2578221.754793299, 9835881.53980958 2578215.0166741936, 9835911.42909286 2578210.809871342, 9835925.767043272 2578244.2232459704, 9835946.47246856 2578239.052124077, 9835961.623051258 2578278.1791142975)",,,,,,,,38,0,6.57,204,300.0,65.0,3,54,63,5.0,1392.237069812796
1221407506,1270245641,0,106086721,secondary,,Muzaffar Ahmed Street,False,False,118.78923467099864,"LINESTRING (9835856.90480627 2578121.6114367507, 9835899.651490733 2578120.249356256, 9835962.491343286 2578121.9489434394, 9835985.623533472 2578122.5154725392)",40,,,,,,,28,1,6.57,204,300.0,65.0,3,54,23,30.0,475.6582876919563
1221407506,1221407446,0,106086721,secondary,,Muzaffar Ahmed Street,False,True,52.24931723680293,"LINESTRING (9835856.90480627 2578121.6114367507, 9835804.66256924 2578107.7133994163, 9835802.169012645 2578107.050440423)",40,,,,,,,21,1,6.57,204,300.0,65.0,3,54,45,29.0,394.94631307873584
1221407506,302478612,0,111524657,residential,,Collin Street,False,True,54.71584349160447,"LINESTRING (9835856.90480627 2578121.6114367507, 9835833.160358883 2578172.3701089034, 9835831.768865248 2578175.335355524)",,,,,,,,20,1,6.57,204,300.0,65.0,3,54,68,5.0,554.2812828914923
10596151235,1270372584,0,111524657,residential,,Collin Street,False,True,23.639353485280076,"LINESTRING (9835779.671343556 2578353.070310746, 9835781.229816427 2578378.6488716626)",,,,,,,,10,0,6.57,204,300.0,65.0,3,54,72,5.0,265.04401411281987
10596151235,10596151236,0,1136691854,residential,,,False,False,79.18647827238317,"LINESTRING (9835779.671343556 2578353.070310746, 9835864.15170512 2578337.846143545)",,,,,,,,25,0,6.57,204,300.0,65.0,3,54,53,5.0,639.426001812357
10596151235,302478612,0,111524657,residential,,Collin Street,False,False,183.249195257697,"LINESTRING (9835779.671343556 2578353.070310746, 9835775.26309172 2578280.710438462, 9835777.645328823 2578238.9074773346, 9835787.786534436 2578220.392704602, 9835809.872321408 2578194.1152630677, 9835831.768865248 2578175.335355524)",,,,,,,,32,1,6.57,204,300.0,65.0,3,54,49,5.0,1245.3052681152583
302478667,1270610249,0,27553231,tertiary,2,Eliot Road,False,True,29.54750158909323,"LINESTRING (9835752.164297381 2577989.767383607, 9835781.407927612 2577976.701162094)",,,,,,,,6,0,6.57,204,300.0,65.0,3,54,16,5.0,97.531203051059
302478667,1221407446,0,27553226,secondary,,Rafi Ahmad Kidwai Road,False,True,117.63001129042885,"LINESTRING (9835752.164297381 2577989.767383607, 9835790.235563233 2578076.8918610974, 9835802.169012645 2578107.050440423)",40,,,,,,,14,1,6.57,204,300.0,65.0,3,54,11,32.0,233.07161490336608
1270610249,302478667,0,27553231,tertiary,2,Eliot Road,False,False,29.54750158909323,"LINESTRING (9835781.407927612 2577976.701162094, 9835752.164297381 2577989.767383607)",,,,,,,,6,0,6.57,204,300.0,65.0,3,54,50,5.0,218.0850095345594
302478906,12418196125,0,1387720855,primary,4,AJC Bose Road,True,False,8.165729074346435,"LINESTRING (9836951.186532715 2578981.709199527, 9836948.292225955 2578973.3434246173)",40,SH1,,,,,,12,0,6.57,204,300.0,65.0,3,54,30,29.0,100.19662466764716
302478906,12418196126,0,1342319512,tertiary,,,True,False,10.519623714316557,"LINESTRING (9836951.186532715 2578981.709199527, 9836949.605795946 2578982.1672680145, 9836940.221562872 2578984.8433525935)",,,,,,,,11,0,6.57,204,300.0,65.0,3,54,31,5.0,104.93300021725759
12418196125,10281892352,0,1127572634,secondary,,Surendra Nath Bannerjee Road,True,False,11.48932760435598,"LINESTRING (9836948.292225955 2578973.3434246173, 9836935.880102731 2578972.30674387)",40,,,,,,,11,0,6.57,204,300.0,65.0,3,54,61,26.0,149.90187806388576
12418196125,1221407469,0,1195990817,primary,4,AJC Bose Road,True,False,189.14693350565295,"LINESTRING (9836948.292225955 2578973.3434246173, 9836922.521763837 2578898.8592828936, 9836907.82759105 2578856.765463351, 9836880.921670128 2578779.678117675)",40,SH1,,,,,,20,0,6.57,204,300.0,65.0,3,54,35,32.0,905.2171207237423
12418196126,10302573051,0,"[1373600698, 1127572635]",primary,,Acharya Jagadish Chandra Bose Road,True,False,62.91500321872418,"LINESTRING (9836940.221562872 2578984.8433525935, 9836958.066077247 2579037.352558781, 9836962.173766457 2579049.41909172)",40,,,,,,,11,0,6.57,204,300.0,65.0,3,54,46,33.0,413.09081776735746
302479293,11508112000,0,102690993,secondary,,Lenin Sarani,True,False,33.895079495672995,"LINESTRING (9836471.288207907 2579117.1292596995, 9836507.689681396 2579112.1145751714)",40,,,,,,,7,0,6.57,204,300.0,65.0,3,54,76,32.0,354.9231250005377
302479293,1221407437,0,106086746,tertiary,,Taltola Ln,False,True,169.50206421225144,"LINESTRING (9836471.288207907 2579117.1292596995, 9836464.375267526 2579086.4746132554, 9836457.09497283 2579030.5538367876, 9836456.538375374 2579026.2503918563, 9836450.237692196 2578977.779454592, 9836443.16890453 2578935.6492720223)",40,,,,,,,28,0,6.57,204,300.0,65.0,3,54,69,31.0,1554.2770916774418
