u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,bridge,width,tunnel,access,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
7054075564,5273234125,0,1448538057,secondary_link,40,Camac Street,False,True,31.420908747387728,"LINESTRING (9835566.271879707 2577784.8796046255, 9835559.514786614 2577782.529159398, 9835552.746561574 2577780.1787145026, 9835546.546065938 2577778.021126917, 9835533.900171783 2577774.3206840563)",,,,,,,,6,2,6.48,204,300.0,65.0,3,53,24,28.0,125.09221719247665
302476653,9914104086,0,1126704636,primary,40,AJC Bose Road,True,False,14.960610399144498,"LINESTRING (9836978.393016266 2579059.4604789545, 9836973.03854876 2579044.1512835557)",4,SH1,,,,,,6,0,6.48,204,300.0,65.0,3,53,13,28.0,63.938552222665415
302476653,1219108159,0,"[27553089, 1392018925]",secondary,40,Dr Lal Mohan Battacharya Road,True,False,122.89290545085352,"LINESTRING (9836978.393016266 2579059.4604789545, 9836979.227912446 2579058.83364548, 9836992.886813968 2579049.3467648234, 9837087.786679868 2578983.4209292047)",,,,,,,,14,0,6.48,204,300.0,65.0,3,53,32,29.0,552.5087569312775
9914104086,10302573051,0,1126744155,secondary,,Acharya Jagadish Chandra Bose Road,True,False,11.137965062536905,"LINESTRING (9836973.03854876 2579044.1512835557, 9836962.173766457 2579049.41909172)",,,,,,,,5,0,6.48,204,300.0,65.0,3,53,43,5.0,93.07189972269043
9914104086,302478906,0,1126744154,primary,40,AJC Bose Road,True,False,61.02427662176668,"LINESTRING (9836973.03854876 2579044.1512835557, 9836967.895588284 2579029.4448256623, 9836951.186532715 2578981.709199527)",4,SH1,,,,,,11,0,6.48,204,300.0,65.0,3,53,51,28.0,439.0685729252121
1219108159,1219155143,0,27553089,secondary,40,Dr Lal Mohan Battacharya Road,True,False,17.187879381267567,"LINESTRING (9837087.786679868 2578983.4209292047, 9837103.404804425 2578973.259043624)",,,,,,,,8,0,6.48,204,300.0,65.0,3,53,30,28.0,112.47636577256324
1219108159,1219108045,0,749320088,tertiary,,Convent Road,False,True,268.26158079989835,"LINESTRING (9837087.786679868 2578983.4209292047, 9837112.366023434 2578994.932918596, 9837166.055413844 2579003.28664992, 9837235.318401016 2578996.126308528, 9837301.074824227 2578991.0513882977, 9837339.99211821 2578988.0498328814, 9837373.677396124 2578979.6237826203)",,,,,,,,22,1,6.48,204,300.0,65.0,3,53,55,5.0,1888.126433279329
302476661,9914104094,0,1092364824,tertiary,,Dr Lal Mohan Battacharya Road,True,False,7.980769447507795,"LINESTRING (9837608.873216271 2578771.4570958028, 9837600.257087683 2578772.2406241056)",,,,,,,,8,0,6.48,204,300.0,65.0,3,53,26,5.0,75.50000067622432
302476661,302476662,0,1218509066,secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,122.71694946742679,"LINESTRING (9837608.873216271 2578771.4570958028, 9837606.83606959 2578749.9763804236, 9837596.327509658 2578639.017234787)",4,,,,,,,26,1,6.48,204,300.0,65.0,3,53,23,5.0,476.29878053009793
9914104094,9914104093,0,1204351764,secondary,,Dr Lal Mohan Battacharya Road,True,False,85.4893412298847,"LINESTRING (9837600.257087683 2578772.2406241056, 9837596.327509658 2578775.881017625, 9837510.377730817 2578791.286400349)",,,,,,,,17,0,6.48,204,300.0,65.0,3,53,12,5.0,218.70465137103398
302476662,9917506462,0,106074327,residential,,,False,True,8.897395005840744,"LINESTRING (9837596.327509658 2578639.017234787, 9837586.731769552 2578639.993623822)",,,,,,,,18,1,6.48,204,300.0,65.0,3,53,67,5.0,169.13505584695957
302476662,1219155059,0,1218509066,secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,99.38749928921771,"LINESTRING (9837596.327509658 2578639.017234787, 9837586.130644301 2578531.7594402456)",4,,,,,,,37,1,6.48,204,300.0,65.0,3,53,42,5.0,693.5129964176573
302476662,1283735118,0,113114057,residential,,,False,False,93.21274329948193,"LINESTRING (9837596.327509658 2578639.017234787, 9837644.985259086 2578632.3753800313, 9837696.348072136 2578624.660706333)",,,,,,,,38,1,6.48,204,300.0,65.0,3,53,46,5.0,712.1343430131402
9917506462,302476662,0,106074327,residential,,,False,False,8.897395005840744,"LINESTRING (9837586.731769552 2578639.993623822, 9837596.327509658 2578639.017234787)",,,,,,,,18,1,6.48,204,300.0,65.0,3,53,41,5.0,141.37518342873645
9917506462,1221317060,0,106074327,residential,,,False,True,46.11707520631251,"LINESTRING (9837586.731769552 2578639.993623822, 9837536.983089117 2578644.935840806)",,,,,,,,23,1,6.48,204,300.0,65.0,3,53,38,5.0,332.893862940785
9917506462,9914104094,0,1218509067,secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,122.62847319778297,"LINESTRING (9837586.731769552 2578639.993623822, 9837600.257087683 2578772.2406241056)",,,,,,,,27,1,6.48,204,300.0,65.0,3,53,22,5.0,466.339169242147
1219155059,9917506461,0,106074325,residential,,,False,True,9.443206694550266,"LINESTRING (9837586.130644301 2578531.7594402456, 9837576.290001316 2578534.5801016414)",,,,,,,,19,0,6.48,204,300.0,65.0,3,53,41,5.0,152.0605769371873
1219155059,1283735407,0,113114064,residential,,,False,False,82.80808489376369,"LINESTRING (9837586.130644301 2578531.7594402456, 9837622.621173386 2578523.647027873, 9837674.251153214 2578514.7752114446)",,,,,,,,26,0,6.48,204,300.0,65.0,3,53,35,5.0,488.3939565538075
1219155059,1280447980,0,"[1218509066, 105874639]",secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,129.3814325385536,"LINESTRING (9837586.130644301 2578531.7594402456, 9837577.414328173 2578439.8832866764, 9837567.88537976 2578392.872593626)",4,,,,,,,41,0,6.48,204,300.0,65.0,3,53,71,5.0,1317.9298052284767
1283735118,302476662,0,113114057,residential,,,False,True,93.21274329948193,"LINESTRING (9837696.348072136 2578624.660706333, 9837644.985259086 2578632.3753800313, 9837596.327509658 2578639.017234787)",,,,,,,,38,1,6.48,204,300.0,65.0,3,53,24,5.0,466.05270070250793
302477392,6148941000,0,111508754,tertiary,40,Humayun Place,False,False,15.878262745949032,"LINESTRING (9835148.601150248 2578981.6850906587, 9835165.811143527 2578981.3475665185)",,,,,,,,1,1,6.48,204,300.0,65.0,3,53,10,30.0,31.653915295138837
302477392,302478894,0,"[1194659613, 1427088654]",primary,40,Jawaharlal Nehru Road,True,False,310.3686647172276,"LINESTRING (9835148.601150248 2578981.6850906587, 9835151.217158282 2579010.3505587596, 9835165.41039336 2579165.865803753, 9835182.21963647 2579316.4521402363)",,,,,,,,4,2,6.48,204,300.0,65.0,3,53,51,32.0,1924.0562280694328
6148941000,302477392,0,111508754,tertiary,40,Humayun Place,False,True,15.878262745949032,"LINESTRING (9835165.811143527 2578981.3475665185, 9835148.601150248 2578981.6850906587)",,,,,,,,1,1,6.48,204,300.0,65.0,3,53,75,34.0,155.50436471354126
6148941000,1270257397,0,1194659614,tertiary,40,Humayun Place,False,False,137.61053149844557,"LINESTRING (9835165.811143527 2578981.3475665185, 9835203.759957938 2578978.1893052477, 9835271.353152746 2578967.955096321, 9835313.610031452 2578961.566252954)",,,,,,,,6,1,6.48,204,300.0,65.0,3,53,43,27.0,747.6703425319791
6148941000,664471750,0,"[1373593668, 1194659615]",primary,,Chowringhee Road,True,False,111.7434867245064,"LINESTRING (9835165.811143527 2578981.3475665185, 9835158.14123061 2578922.847503791, 9835150.05943558 2578861.237625258)",,,,,,,,3,1,6.48,204,300.0,65.0,3,53,53,5.0,733.2885755678607
302478894,10542380575,0,27553135,primary,,Chowringhee Road,True,False,6.92267278468754,"LINESTRING (9835182.21963647 2579316.4521402363, 9835183.833769085 2579323.7813851503)",,,,,,,,1,2,6.48,204,300.0,65.0,3,53,53,5.0,53.62819891061275
302478894,10279712290,0,1124087857,secondary,,,True,False,15.379838187643832,"LINESTRING (9835182.21963647 2579316.4521402363, 9835166.033782508 2579312.4499881268)",,,,,,,,1,2,6.48,204,300.0,65.0,3,53,51,5.0,103.72460970838026
302477393,302477392,0,"[1194659612, 1373593669]",primary,40,Chowringhee Road,True,False,125.6928731309693,"LINESTRING (9835135.198283557 2578846.0853187577, 9835142.934988167 2578924.414574702, 9835148.601150248 2578981.6850906587)",,,,,,,,3,1,6.48,204,300.0,65.0,3,53,64,27.0,987.9212656458442
302477394,1270257355,0,79808866,tertiary,40,Sudder Street,False,False,199.46721319094948,"LINESTRING (9835137.82542354 2578720.515781119, 9835292.926870061 2578693.35759077, 9835309.324231058 2578690.6212819964, 9835350.846401121 2578683.376695744)",,,,,,,,19,3,6.48,204,300.0,65.0,3,53,76,29.0,1915.740984301459
302477394,663943279,0,647944439,secondary,40,Chowringhee Road,True,False,288.1876112592731,"LINESTRING (9835137.82542354 2578720.515781119, 9835131.636059852 2578651.9754889985, 9835119.669214591 2578515.341753929, 9835109.706120165 2578409.374537149)",,,,,,,,7,2,6.48,204,300.0,65.0,3,53,60,29.0,2114.5508010667663
1270257355,1270257421,0,79808866,tertiary,40,Sudder Street,False,False,50.80538472538468,"LINESTRING (9835350.846401121 2578683.376695744, 9835405.103520934 2578673.914137756)",,,,,,,,16,0,6.48,204,300.0,65.0,3,53,68,28.0,505.17193935913895
1270257355,302477394,0,79808866,tertiary,40,Sudder Street,False,True,199.46721319094948,"LINESTRING (9835350.846401121 2578683.376695744, 9835309.324231058 2578690.6212819964, 9835292.926870061 2578693.35759077, 9835137.82542354 2578720.515781119)",,,,,,,,19,3,6.48,204,300.0,65.0,3,53,67,34.0,1700.3163940552338
1270257355,10943518780,0,111508749,residential,,Madge Lane,False,False,68.22827939176034,"LINESTRING (9835350.846401121 2578683.376695744, 9835358.416126495 2578726.783989365, 9835364.18247612 2578756.124057074)",,,,,,,,20,0,6.48,204,300.0,65.0,3,53,72,5.0,700.0923339448093
663943279,2283710617,0,647944442,tertiary,,,False,False,21.599940366213236,"LINESTRING (9835109.706120165 2578409.374537149, 9835086.874492604 2578414.569820056)",,,,,,,,2,1,6.48,204,300.0,65.0,3,53,45,5.0,134.23967797755148
663943279,1270257449,0,111508766,tertiary,,KYD Street (previously Doctor Mohammad Ishaque Road),False,True,252.10705485936924,"LINESTRING (9835109.706120165 2578409.374537149, 9835119.112617139 2578408.229405405, 9835179.369857505 2578401.5755888266, 9835217.340935815 2578399.6348928264, 9835252.907513123 2578398.3933296655, 9835290.344257876 2578397.055334518, 9835298.348129265 2578396.862470362, 9835337.588249769 2578395.3677732246, 9835382.31642117 2578392.0529211825)",,,,,,,,17,1,6.48,204,300.0,65.0,3,53,72,5.0,2270.8049539849503
663943279,302477396,0,"[219177864, 1453839264]",secondary,40,Chowringhee Road,True,False,92.44863242896695,"LINESTRING (9835109.706120165 2578409.374537149, 9835105.809937987 2578370.753505824, 9835102.40356157 2578341.305632413, 9835101.835832167 2578336.84566432, 9835100.622449717 2578327.2266020714, 9835098.874733713 2578309.7483703727)",,,,,,,,5,1,6.48,204,300.0,65.0,3,53,79,27.0,909.0130354266066
302477396,2283710613,0,656173043,secondary,40,Park Street,False,False,25.658905911946388,"LINESTRING (9835098.874733713 2578309.7483703727, 9835074.71840421 2578323.538090956)",6,,,,,,,4,1,6.48,204,300.0,65.0,3,53,30,32.0,119.97206128300701
302477396,7055897012,0,"[1480586113, 1480586114, 1476466974]",secondary,40,Chowringhee Road,True,False,175.9774235881801,"LINESTRING (9835098.874733713 2578309.7483703727, 9835094.711384756 2578289.124080597, 9835074.328785993 2578201.877952484, 9835067.83885968 2578178.0113102454, 9835056.651250854 2578123.7570151025)",,,,,,,,8,1,6.48,204,300.0,65.0,3,53,16,35.0,385.47665328930583
302477396,302478440,0,"[1467575441, 1483305514, 656173035, 656173039]",secondary,40,Park Street,False,"[False, True]",169.87952135145434,"LINESTRING (9835098.874733713 2578309.7483703727, 9835104.730138928 2578305.228141026, 9835109.450085338 2578302.11822395, 9835126.237064548 2578288.9553255555, 9835156.905584263 2578264.907749626, 9835205.440882249 2578212.3648212696, 9835232.090768343 2578183.519921095)",6,,,,,,,11,1,6.48,204,300.0,65.0,3,53,21,28.0,490.69639380566497
2283710613,302477396,0,656173043,secondary,40,Park Street,False,True,25.658905911946388,"LINESTRING (9835074.71840421 2578323.538090956, 9835098.874733713 2578309.7483703727)",6,,,,,,,4,1,6.48,204,300.0,65.0,3,53,35,33.0,135.36740483017482
2283710613,2283710617,0,"[1126475662, 1453839263]",secondary,40,Chowringhee Road,True,False,84.72040807472115,"LINESTRING (9835074.71840421 2578323.538090956, 9835075.853863016 2578332.7352623525, 9835077.312148346 2578343.523562938, 9835086.874492604 2578414.569820056)",,,,,,,,1,1,6.48,204,300.0,65.0,3,53,11,31.0,124.43093865863193
7055897012,7055897001,0,755358296,secondary_link,,,False,True,30.550558725749298,"LINESTRING (9835056.651250854 2578123.7570151025, 9835055.282021116 2578127.590127677, 9835053.033367405 2578131.0616266206, 9835049.871893864 2578133.641143666, 9835046.331934057 2578135.4492165996, 9835041.95707807 2578136.305037857, 9835037.905048605 2578135.7505621077, 9835033.886414988 2578133.8098971313, 9835030.624753907 2578131.7728018407)",,,,,,,,2,1,6.48,204,300.0,65.0,3,53,29,5.0,123.91594436560754
7055897012,6084044837,0,1320233836,secondary,40,Chowringhee Road,True,False,221.2600212257014,"LINESTRING (9835056.651250854 2578123.7570151025, 9835047.0221149 2578083.7384082805, 9835043.849509412 2578070.202015781, 9835034.843762606 2578031.7625783654, 9835008.416515494 2577918.8796390146, 9835004.152978996 2577900.762993034, 9834995.670433797 2577894.1455404405)",,,,,,,,7,1,6.48,204,300.0,65.0,3,53,60,31.0,1635.6721528250498
302478440,7261583666,0,27553217,tertiary,40,Anandi Lal Poddar Sarani,False,False,411.9378487102247,"LINESTRING (9835232.090768343 2578183.519921095, 9835226.168571433 2578161.8591576614, 9835179.815135468 2577992.2745564375, 9835170.319582904 2577956.535325607, 9835148.467566859 2577877.595893661, 9835135.710353214 2577828.3327672537, 9835114.882476488 2577752.636346509)",,,,,,,,13,0,6.48,204,300.0,65.0,3,53,24,30.0,1261.981004285447
302478440,302478415,0,656173035,secondary,40,Park Street,False,False,214.57227570269362,"LINESTRING (9835232.090768343 2578183.519921095, 9835236.432228485 2578178.8189182864, 9835260.577426037 2578152.68618844, 9835274.659341622 2578137.4380970537, 9835288.273715347 2578122.696279703, 9835315.491330847 2578093.2367917853, 9835332.812643614 2578075.1802247423, 9835341.740466775 2578065.874711866, 9835376.794974426 2578028.146455241, 9835387.02523563 2578017.0088009587, 9835389.429736631 2578012.4524899935)",6,,,,,,,12,0,6.48,204,300.0,65.0,3,53,35,30.0,971.8035579513132
302478440,302477396,0,"[1467575441, 1483305514, 656173035, 656173039]",secondary,40,Park Street,False,"[False, True]",169.87952135145434,"LINESTRING (9835232.090768343 2578183.519921095, 9835205.440882249 2578212.3648212696, 9835156.905584263 2578264.907749626, 9835126.237064548 2578288.9553255555, 9835109.450085338 2578302.11822395, 9835104.730138928 2578305.228141026, 9835098.874733713 2578309.7483703727)",6,,,,,,,11,1,6.48,204,300.0,65.0,3,53,49,27.0,1061.4915855465515
1270610198,1270610252,0,111547637,residential,40,,False,False,70.3918929290586,"LINESTRING (9836014.288302353 2577529.7196207363, 9836055.098027676 2577594.193281746)",,,,,,,,11,0,6.48,204,300.0,65.0,3,53,55,29.0,530.1864933317867
1270610198,302477826,0,656173036,secondary,40,Park Street,False,False,8.341017749102596,"LINESTRING (9836014.288302353 2577529.7196207363, 9836006.896688163 2577534.926682231)",6,,,,,,,5,0,6.48,204,300.0,65.0,3,53,34,33.0,69.63135241633859
302478415,7059502798,0,1327839750,secondary,40,Park Street,False,False,22.090819014573842,"LINESTRING (9835389.429736631 2578012.4524899935, 9835404.602583226 2577993.925915671)",6,,,,,,,7,0,6.48,204,300.0,65.0,3,53,59,33.0,202.00299862318278
302478415,302478425,0,27553216,residential,40,Sir William Jones Sarani,False,False,438.1347419371234,"LINESTRING (9835389.429736631 2578012.4524899935, 9835386.680145208 2578001.5438669603, 9835385.22185988 2577994.6611924623, 9835370.96183311 2577941.6972391806, 9835368.345825076 2577931.2949167853, 9835354.419756776 2577878.704827963, 9835325.743855948 2577769.511314923, 9835328.61589881 2577749.442157987, 9835335.295068258 2577731.289535996, 9835356.32332007 2577721.7310916088, 9835429.315510182 2577705.6637567384, 9835512.382114211 2577682.171484856)",,,,,,,,36,1,6.48,204,300.0,65.0,3,53,61,29.0,3394.746310979743
302478415,302478440,0,656173035,secondary,40,Park Street,False,True,214.5722757026936,"LINESTRING (9835389.429736631 2578012.4524899935, 9835387.02523563 2578017.0088009587, 9835376.794974426 2578028.146455241, 9835341.740466775 2578065.874711866, 9835332.812643614 2578075.1802247423, 9835315.491330847 2578093.2367917853, 9835288.273715347 2578122.696279703, 9835274.659341622 2578137.4380970537, 9835260.577426037 2578152.68618844, 9835236.432228485 2578178.8189182864, 9835232.090768343 2578183.519921095)",6,,,,,,,12,0,6.48,204,300.0,65.0,3,53,56,33.0,1512.5256927221008
7059502798,302478415,0,1327839750,secondary,40,Park Street,False,True,22.090819014573842,"LINESTRING (9835404.602583226 2577993.925915671, 9835389.429736631 2578012.4524899935)",6,,,,,,,7,0,6.48,204,300.0,65.0,3,53,37,29.0,143.68323642470784
7059502798,6147021061,0,"[36920281, 1178288173]",secondary,40,Park Street,False,True,212.41513755698602,"LINESTRING (9835404.602583226 2577993.925915671, 9835408.298390321 2577989.05621446, 9835413.574934185 2577982.7280157595, 9835465.11585842 2577914.0822817376, 9835491.921591805 2577878.716881597, 9835510.066668803 2577856.719013858, 9835515.833018428 2577849.113182522, 9835521.098430341 2577841.6158371284, 9835539.065396156 2577818.991231727, 9835541.91517512 2577814.8568505826, 9835544.319676122 2577810.9876493337)",6,,,,,,,21,2,6.48,204,300.0,65.0,3,53,56,32.0,1537.029724382946
7059502798,302478697,0,"[1393837459, 27553223]",secondary,40,Mirza Ghalib Street,False,False,103.50622270152182,"LINESTRING (9835404.602583226 2577993.925915671, 9835411.170433184 2578008.2698458405, 9835414.621337397 2578015.8154812995, 9835421.211451253 2578030.207645325, 9835451.301109614 2578095.9488946702)",,,,,,,,8,0,6.48,204,300.0,65.0,3,53,77,28.0,1006.9974977620616
302478425,5273234125,0,562638721,secondary_link,40,Camac Street,False,False,87.29557349775466,"LINESTRING (9835512.382114211 2577682.171484856, 9835533.900171783 2577774.3206840563)",,,,,,,,6,2,6.48,204,300.0,65.0,3,53,29,29.0,338.3885957721862
302478425,302478415,0,27553216,residential,40,Sir William Jones Sarani,False,True,438.1347419371234,"LINESTRING (9835512.382114211 2577682.171484856, 9835429.315510182 2577705.6637567384, 9835356.32332007 2577721.7310916088, 9835335.295068258 2577731.289535996, 9835328.61589881 2577749.442157987, 9835325.743855948 2577769.511314923, 9835354.419756776 2577878.704827963, 9835368.345825076 2577931.2949167853, 9835370.96183311 2577941.6972391806, 9835385.22185988 2577994.6611924623, 9835386.680145208 2578001.5438669603, 9835389.429736631 2578012.4524899935)",,,,,,,,36,1,6.48,204,300.0,65.0,3,53,59,34.0,3289.5939729148336
5273234125,302478425,0,562638721,secondary_link,40,Camac Street,False,True,87.29557349775466,"LINESTRING (9835533.900171783 2577774.3206840563, 9835512.382114211 2577682.171484856)",,,,,,,,6,2,6.48,204,300.0,65.0,3,53,12,31.0,160.3056258367667
5273234125,6147021061,0,755135224,secondary,40,Camac Street,False,False,35.16474559547956,"LINESTRING (9835533.900171783 2577774.3206840563, 9835544.319676122 2577810.9876493337)",2,,,,,,,6,2,6.48,204,300.0,65.0,3,53,39,26.0,199.17100938684433
5273234125,7054075564,0,1448538057,secondary_link,40,Camac Street,False,False,31.420908747387728,"LINESTRING (9835533.900171783 2577774.3206840563, 9835546.546065938 2577778.021126917, 9835552.746561574 2577780.1787145026, 9835559.514786614 2577782.529159398, 9835566.271879707 2577784.8796046255)",,,,,,,,6,2,6.48,204,300.0,65.0,3,53,61,35.0,264.6010520308782
7261583666,7261583665,0,778057608,residential,,,False,False,99.47527766701128,"LINESTRING (9835114.882476488 2577752.636346509, 9835218.710165551 2577723.5270662387)",,,,,,,,5,0,6.48,204,300.0,65.0,3,53,33,5.0,429.52209956136466
7261583666,302478445,0,27553217,tertiary,40,Anandi Lal Poddar Sarani,False,False,141.84322633705182,"LINESTRING (9835114.882476488 2577752.636346509, 9835103.516756477 2577710.581589019, 9835100.967540137 2577700.577176841, 9835074.974439038 2577604.149416192)",,,,,,,,13,0,6.48,204,300.0,65.0,3,53,21,27.0,433.0449303693706
7261583666,302478440,0,27553217,tertiary,40,Anandi Lal Poddar Sarani,False,True,411.9378487102247,"LINESTRING (9835114.882476488 2577752.636346509, 9835135.710353214 2577828.3327672537, 9835148.467566859 2577877.595893661, 9835170.319582904 2577956.535325607, 9835179.815135468 2577992.2745564375, 9835226.168571433 2578161.8591576614, 9835232.090768343 2578183.519921095)",,,,,,,,13,0,6.48,204,300.0,65.0,3,53,70,31.0,3535.8779291658875
302478445,1881428267,0,177706426,residential,40,Prafulla Chandra Sen Sarani,False,True,70.16039978729435,"LINESTRING (9835074.974439038 2577604.149416192, 9835148.13360839 2577583.3693069913)",,,,,,,,9,0,6.48,204,300.0,65.0,3,53,60,33.0,560.7548784685193
302478445,7261583666,0,27553217,tertiary,40,Anandi Lal Poddar Sarani,False,True,141.84322633705182,"LINESTRING (9835074.974439038 2577604.149416192, 9835100.967540137 2577700.577176841, 9835103.516756477 2577710.581589019, 9835114.882476488 2577752.636346509)",,,,,,,,13,0,6.48,204,300.0,65.0,3,53,56,28.0,1028.7864809849882
302478445,6084044833,0,177706426,residential,40,Prafulla Chandra Sen Sarani,False,False,126.2440444604523,"LINESTRING (9835074.974439038 2577604.149416192, 9835027.429884521 2577618.480956748, 9834951.053581886 2577641.5030536363, 9834943.951398375 2577643.648570048)",,,,,,,,8,2,6.48,204,300.0,65.0,3,53,25,28.0,423.33213338135687
1881428267,302478445,0,177706426,residential,40,Prafulla Chandra Sen Sarani,False,False,70.16039978729435,"LINESTRING (9835148.13360839 2577583.3693069913, 9835074.974439038 2577604.149416192)",,,,,,,,9,0,6.48,204,300.0,65.0,3,53,56,27.0,527.077886570618
1881428267,6508635187,0,177706426,residential,40,Prafulla Chandra Sen Sarani,False,True,69.93963830101663,"LINESTRING (9835148.13360839 2577583.3693069913, 9835187.540708128 2577570.8699150635, 9835216.906789798 2577561.6731649963, 9835220.457881557 2577560.636572254)",,,,,,,,9,0,6.48,204,300.0,65.0,3,53,69,33.0,634.7002051324176
6084044833,302478445,0,177706426,residential,40,Prafulla Chandra Sen Sarani,False,True,126.2440444604523,"LINESTRING (9834943.951398375 2577643.648570048, 9834951.053581886 2577641.5030536363, 9835027.429884521 2577618.480956748, 9835074.974439038 2577604.149416192)",,,,,,,,8,2,6.48,204,300.0,65.0,3,53,20,27.0,347.5857067050855
302478452,2813486079,0,27553223,secondary,40,Mirza Ghalib Street,False,False,43.92308061922818,"LINESTRING (9835531.740573663 2578299.8400292513, 9835551.176956754 2578343.3065914605)",,,,,,,,14,0,6.48,204,300.0,65.0,3,53,79,29.0,496.99080427028315
302478452,1270264366,0,27553223,secondary,40,Mirza Ghalib Street,False,True,133.0286977964962,"LINESTRING (9835531.740573663 2578299.8400292513, 9835526.619877085 2578286.339622628, 9835509.02026559 2578240.0164357307, 9835503.075804781 2578224.3584321826, 9835481.446427722 2578164.691810152)",,,,,,,,16,0,6.48,204,300.0,65.0,3,53,64,30.0,1112.2603990770908
