u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,bridge,maxspeed,ref,width,junction,tunnel,access,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
1662341079,1662341075,0,"[162339437, 162339447]",residential,,,False,True,122.5353955727862,"LINESTRING (9840352.219615433 2582596.0576369064, 9840313.636279924 2582571.003092479, 9840312.890439335 2582570.870465059, 9840312.300446033 2582571.280404362, 9840267.739253867 2582644.117133525)",,,,,,,,55,2,4.61,196,300.0,65.0,3,62,49,5.0,1001.9081259679829
293685335,293685331,0,26774686,residential,,,False,True,192.92213628658592,"LINESTRING (9840506.074283656 2582745.264381074, 9840330.356467439 2582631.758619477)",,,,,,,,112,1,4.61,196,300.0,65.0,3,62,16,5.0,939.8105016702449
293685335,293685301,0,162339446,residential,,,False,False,38.165937203541276,"LINESTRING (9840506.074283656 2582745.264381074, 9840483.710197955 2582780.085509582)",,,,,,,,43,0,4.61,196,300.0,65.0,3,62,72,5.0,557.1536974385966
293685335,293685300,0,162339446,residential,,,False,True,38.12299161627402,"LINESTRING (9840506.074283656 2582745.264381074, 9840528.427237408 2582710.4915541545)",,,,,,,,43,0,4.61,196,300.0,65.0,3,62,24,5.0,337.1942158548692
2030023038,293685300,0,162339446,residential,,,False,False,21.432421572460054,"LINESTRING (9840540.093520043 2582690.3923146664, 9840528.427237408 2582710.4915541545)",,,,,,,,31,0,4.61,196,300.0,65.0,3,62,77,5.0,365.4355753295309
293685301,293685322,0,26774684,residential,,,False,False,192.96471878277026,"LINESTRING (9840483.710197955 2582780.085509582, 9840306.6454159 2582668.6051041433)",,,,,,,,110,2,4.61,196,300.0,65.0,3,62,69,5.0,2154.1478715213375
293685301,1742495589,0,26774684,residential,,,False,True,49.422816912943006,"LINESTRING (9840483.710197955 2582780.085509582, 9840529.061758505 2582808.636960302)",,,,,,,,39,0,4.61,196,300.0,65.0,3,62,59,5.0,557.3135437436364
293685301,293685302,0,162339446,residential,,,False,False,39.29960021364067,"LINESTRING (9840483.710197955 2582780.085509582, 9840460.667063361 2582815.9315744634)",,,,,,,,43,0,4.61,196,300.0,65.0,3,62,62,5.0,519.7890255894866
293685301,293685335,0,162339446,residential,,,False,True,38.165937203541276,"LINESTRING (9840483.710197955 2582780.085509582, 9840506.074283656 2582745.264381074)",,,,,,,,43,0,4.61,196,300.0,65.0,3,62,39,5.0,406.0165861125731
293685322,1662341075,0,26774684,residential,,,False,False,42.396347530722394,"LINESTRING (9840306.6454159 2582668.6051041433, 9840267.739253867 2582644.117133525)",,,,,,,,35,2,4.61,196,300.0,65.0,3,62,52,5.0,445.9532085917077
293685322,293685301,0,26774684,residential,,,False,True,192.96471878277026,"LINESTRING (9840306.6454159 2582668.6051041433, 9840483.710197955 2582780.085509582)",,,,,,,,110,2,4.61,196,300.0,65.0,3,62,68,5.0,2130.9921052674053
293685322,293685331,0,162339450,residential,,,False,False,40.409141472146324,"LINESTRING (9840306.6454159 2582668.6051041433, 9840330.356467439 2582631.758619477)",,,,,,,,29,2,4.61,196,300.0,65.0,3,62,36,5.0,325.9674911596721
293685322,293685311,0,162339450,residential,,,False,True,37.07845529430693,"LINESTRING (9840306.6454159 2582668.6051041433, 9840285.227545872 2582702.630301019)",,,,,,,,30,2,4.61,196,300.0,65.0,3,62,36,5.0,316.5789268714059
1742495589,293685301,0,26774684,residential,,,False,False,49.422816912943006,"LINESTRING (9840529.061758505 2582808.636960302, 9840483.710197955 2582780.085509582)",,,,,,,,39,0,4.61,196,300.0,65.0,3,62,13,5.0,284.4995943841911
1742495589,6464717397,0,154903172,tertiary,,,True,False,39.767291010744316,"LINESTRING (9840529.061758505 2582808.636960302, 9840506.742200602 2582845.53206647)",,,,,,,,35,0,4.61,196,300.0,65.0,3,62,76,5.0,550.0776940179882
293685302,293685311,0,26774683,residential,,,False,True,192.60339980495277,"LINESTRING (9840460.667063361 2582815.9315744634, 9840285.227545872 2582702.630301019)",,,,,,,,98,2,4.61,196,300.0,65.0,3,62,36,5.0,1328.4466871573961
293685302,293685303,0,162339446,residential,,,False,False,44.25607953906718,"LINESTRING (9840460.667063361 2582815.9315744634, 9840434.718490059 2582856.2991831703)",,,,,,,,44,0,4.61,196,300.0,65.0,3,62,32,5.0,402.34334543001796
293685302,293685301,0,162339446,residential,,,False,True,39.29960021364067,"LINESTRING (9840460.667063361 2582815.9315744634, 9840483.710197955 2582780.085509582)",,,,,,,,43,0,4.61,196,300.0,65.0,3,62,73,5.0,571.6644978714922
293685311,293685302,0,26774683,residential,,,False,False,192.60339980495277,"LINESTRING (9840285.227545872 2582702.630301019, 9840460.667063361 2582815.9315744634)",,,,,,,,98,2,4.61,196,300.0,65.0,3,62,58,5.0,1836.9196626424714
293685311,293685322,0,162339450,residential,,,False,False,37.07845529430693,"LINESTRING (9840285.227545872 2582702.630301019, 9840306.6454159 2582668.6051041433)",,,,,,,,30,2,4.61,196,300.0,65.0,3,62,15,5.0,223.14121952975248
293685311,5524944759,0,26774683,residential,,,False,True,41.93520743562986,"LINESTRING (9840285.227545872 2582702.630301019, 9840269.019428011 2582692.0320837423, 9840247.17854392 2582677.732338276)",,,,,,,,35,2,4.61,196,300.0,65.0,3,62,15,5.0,256.88337338413373
293685311,1662343218,0,153581833,residential,,,False,False,44.301295718827134,"LINESTRING (9840285.227545872 2582702.630301019, 9840270.86733156 2582726.419043159, 9840259.50161155 2582743.1784916907)",,,,,,,,37,2,4.61,196,300.0,65.0,3,62,64,5.0,531.6339511205923
293685303,2030023040,0,26774681,residential,,,False,False,114.24758487539376,"LINESTRING (9840434.718490059 2582856.2991831703, 9840329.844397783 2582790.3582387296)",,,,,,,,65,0,4.61,196,300.0,65.0,3,62,17,5.0,570.4650731458032
293685303,2030023041,0,162339446,residential,,,False,False,19.792210462107704,"LINESTRING (9840434.718490059 2582856.2991831703, 9840423.052207423 2582874.312717653)",,,,,,,,29,1,4.61,196,300.0,65.0,3,62,48,5.0,268.4031322617403
293685303,293685302,0,162339446,residential,,,False,True,44.25607953906718,"LINESTRING (9840434.718490059 2582856.2991831703, 9840460.667063361 2582815.9315744634)",,,,,,,,44,0,4.61,196,300.0,65.0,3,62,70,5.0,604.1510681281642
2030023040,1662343218,0,26774681,residential,,,False,False,78.11269198704755,"LINESTRING (9840329.844397783 2582790.3582387296, 9840259.50161155 2582743.1784916907)",,,,,,,,48,0,4.61,196,300.0,65.0,3,62,16,5.0,402.37636861513124
2030023040,293685303,0,26774681,residential,,,False,True,114.24758487539376,"LINESTRING (9840329.844397783 2582790.3582387296, 9840434.718490059 2582856.2991831703)",,,,,,,,65,0,4.61,196,300.0,65.0,3,62,28,5.0,721.271885181323
2030023040,2030023035,0,192447881,residential,,,False,False,48.640733383582855,"LINESTRING (9840329.844397783 2582790.3582387296, 9840302.971872704 2582835.7415923965)",,,,,,,,29,1,4.61,196,300.0,65.0,3,62,19,5.0,265.3008721145689
2030023041,293685303,0,162339446,residential,,,False,True,19.792210462107704,"LINESTRING (9840423.052207423 2582874.312717653, 9840434.718490059 2582856.2991831703)",,,,,,,,29,1,4.61,196,300.0,65.0,3,62,27,5.0,218.52676189722897
293685305,1662343218,0,26774681,residential,,,False,True,41.20587878463039,"LINESTRING (9840221.964679254 2582718.9436111413, 9840259.50161155 2582743.1784916907)",,,,,,,,33,0,4.61,196,300.0,65.0,3,62,41,5.0,380.1329236203815
293685305,5524944759,0,162339447,residential,,,False,False,44.55557862147739,"LINESTRING (9840221.964679254 2582718.9436111413, 9840247.17854392 2582677.732338276)",,,,,,,,28,2,4.61,196,300.0,65.0,3,62,20,5.0,253.33338869154574
293685305,1663272153,0,153698922,residential,,,False,True,56.51850000300544,"LINESTRING (9840221.964679254 2582718.9436111413, 9840182.7134268 2582694.3349949988, 9840170.26790773 2582686.0396931227)",,,,,,,,38,0,4.61,196,300.0,65.0,3,62,44,5.0,500.8176800158687
1662343218,293685305,0,26774681,residential,,,False,False,41.20587878463039,"LINESTRING (9840259.50161155 2582743.1784916907, 9840221.964679254 2582718.9436111413)",,,,,,,,33,0,4.61,196,300.0,65.0,3,62,49,5.0,419.6905672536267
1662343218,2030023040,0,26774681,residential,,,False,True,78.11269198704755,"LINESTRING (9840259.50161155 2582743.1784916907, 9840329.844397783 2582790.3582387296)",,,,,,,,48,0,4.61,196,300.0,65.0,3,62,57,5.0,786.6908131914053
1662343218,293685311,0,153581833,residential,,,False,True,44.301295718827134,"LINESTRING (9840259.50161155 2582743.1784916907, 9840270.86733156 2582726.419043159, 9840285.227545872 2582702.630301019)",,,,,,,,37,2,4.61,196,300.0,65.0,3,62,73,5.0,579.4793504969257
5524944759,1662341075,0,162339447,residential,,,False,False,36.340411211079804,"LINESTRING (9840247.17854392 2582677.732338276, 9840267.739253867 2582644.117133525)",,,,,,,,26,2,4.61,196,300.0,65.0,3,62,68,5.0,432.93775548241115
5524944759,293685305,0,162339447,residential,,,False,True,44.55557862147739,"LINESTRING (9840247.17854392 2582677.732338276, 9840221.964679254 2582718.9436111413)",,,,,,,,28,2,4.61,196,300.0,65.0,3,62,43,5.0,376.30678568682333
5524944759,293685311,0,26774683,residential,,,False,False,41.93520743562986,"LINESTRING (9840247.17854392 2582677.732338276, 9840269.019428011 2582692.0320837423, 9840285.227545872 2582702.630301019)",,,,,,,,35,2,4.61,196,300.0,65.0,3,62,54,5.0,453.1401441828815
1663272153,293685305,0,153698922,residential,,,False,False,56.51850000300544,"LINESTRING (9840170.26790773 2582686.0396931227, 9840182.7134268 2582694.3349949988, 9840221.964679254 2582718.9436111413)",,,,,,,,38,0,4.61,196,300.0,65.0,3,62,60,5.0,609.3332000216391
1663272153,2005373612,0,191031771,secondary,,,True,False,211.91388160550372,"LINESTRING (9840170.26790773 2582686.0396931227, 9840176.657646501 2582679.094792414, 9840188.001102615 2582662.6730075027, 9840211.289140088 2582628.032981437, 9840231.894377833 2582593.1036583357, 9840251.976413973 2582555.256607966, 9840272.570519768 2582512.213077959, 9840284.214538505 2582487.267172847)",,40,,,,,,59,0,4.61,196,300.0,65.0,3,62,59,26.0,1807.7502817669663
1662341075,293685322,0,26774684,residential,,,False,True,42.396347530722394,"LINESTRING (9840267.739253867 2582644.117133525, 9840306.6454159 2582668.6051041433)",,,,,,,,35,2,4.61,196,300.0,65.0,3,62,59,5.0,481.56614051751455
1662341075,5524944759,0,162339447,residential,,,False,True,36.340411211079804,"LINESTRING (9840267.739253867 2582644.117133525, 9840247.17854392 2582677.732338276)",,,,,,,,26,2,4.61,196,300.0,65.0,3,62,27,5.0,254.14293232389858
1662341075,1662341079,0,"[162339437, 162339447]",residential,,,False,False,122.5353955727862,"LINESTRING (9840267.739253867 2582644.117133525, 9840312.300446033 2582571.280404362, 9840312.890439335 2582570.870465059, 9840313.636279924 2582571.003092479, 9840352.219615433 2582596.0576369064)",,,,,,,,55,2,4.61,196,300.0,65.0,3,62,10,5.0,428.4424746873434
293685331,293685335,0,26774686,residential,,,False,False,192.92213628658592,"LINESTRING (9840330.356467439 2582631.758619477, 9840506.074283656 2582745.264381074)",,,,,,,,112,1,4.61,196,300.0,65.0,3,62,52,5.0,1773.2341304282963
293685331,1662341079,0,162339450,residential,,,False,False,38.608235139583925,"LINESTRING (9840330.356467439 2582631.758619477, 9840352.219615433 2582596.0576369064)",,,,,,,,32,1,4.61,196,300.0,65.0,3,62,36,5.0,336.1875758030025
293685331,293685322,0,162339450,residential,,,False,True,40.409141472146324,"LINESTRING (9840330.356467439 2582631.758619477, 9840306.6454159 2582668.6051041433)",,,,,,,,29,2,4.61,196,300.0,65.0,3,62,27,5.0,282.32561836975407
302476653,9914104086,0,1126704636,primary,4,AJC Bose Road,True,False,14.960610399144498,"LINESTRING (9836978.393016266 2579059.4604789545, 9836973.03854876 2579044.1512835557)",,40,SH1,,,,,6,0,4.61,196,300.0,65.0,3,62,78,27.0,182.4313133359925
302476653,1219108159,0,"[27553089, 1392018925]",secondary,,Dr Lal Mohan Battacharya Road,True,False,122.89290545085352,"LINESTRING (9836978.393016266 2579059.4604789545, 9836979.227912446 2579058.83364548, 9836992.886813968 2579049.3467648234, 9837087.786679868 2578983.4209292047)",,40,,,,,,14,0,4.61,196,300.0,65.0,3,62,25,32.0,451.0787163525605
9914104086,10302573051,0,1126744155,secondary,,Acharya Jagadish Chandra Bose Road,True,False,11.137965062536905,"LINESTRING (9836973.03854876 2579044.1512835557, 9836962.173766457 2579049.41909172)",,,,,,,,5,0,4.61,196,300.0,65.0,3,62,72,5.0,133.63201814031885
9914104086,302478906,0,1126744154,primary,4,AJC Bose Road,True,False,61.02427662176668,"LINESTRING (9836973.03854876 2579044.1512835557, 9836967.895588284 2579029.4448256623, 9836951.186532715 2578981.709199527)",,40,SH1,,,,,11,0,4.61,196,300.0,65.0,3,62,24,33.0,243.14991667068804
1219108159,1219155143,0,27553089,secondary,,Dr Lal Mohan Battacharya Road,True,False,17.187879381267567,"LINESTRING (9837087.786679868 2578983.4209292047, 9837103.404804425 2578973.259043624)",,40,,,,,,6,0,4.61,196,300.0,65.0,3,62,66,35.0,178.52800469963915
1219108159,1219108045,0,749320088,tertiary,,Convent Road,False,True,268.26158079989835,"LINESTRING (9837087.786679868 2578983.4209292047, 9837112.366023434 2578994.932918596, 9837166.055413844 2579003.28664992, 9837235.318401016 2578996.126308528, 9837301.074824227 2578991.0513882977, 9837339.99211821 2578988.0498328814, 9837373.677396124 2578979.6237826203)",,,,,,,,22,1,4.61,196,300.0,65.0,3,62,62,5.0,2115.2661611512435
302477392,6148941000,0,111508754,tertiary,,Humayun Place,False,False,15.878262745949032,"LINESTRING (9835148.601150248 2578981.6850906587, 9835165.811143527 2578981.3475665185)",,40,,,,,,1,1,4.61,196,300.0,65.0,3,62,10,27.0,33.453915295138835
302477392,302478894,0,"[1194659613, 1427088654]",primary,,Jawaharlal Nehru Road,True,False,310.3686647172276,"LINESTRING (9835148.601150248 2578981.6850906587, 9835151.217158282 2579010.3505587596, 9835165.41039336 2579165.865803753, 9835182.21963647 2579316.4521402363)",,40,,,,,,4,2,4.61,196,300.0,65.0,3,62,12,29.0,473.3308771928077
6148941000,302477392,0,111508754,tertiary,,Humayun Place,False,True,15.878262745949032,"LINESTRING (9835165.811143527 2578981.3475665185, 9835148.601150248 2578981.6850906587)",,40,,,,,,1,1,4.61,196,300.0,65.0,3,62,52,26.0,113.48035953472196
6148941000,1270257397,0,1194659614,tertiary,,Humayun Place,False,False,137.61053149844557,"LINESTRING (9835165.811143527 2578981.3475665185, 9835203.759957938 2578978.1893052477, 9835271.353152746 2578967.955096321, 9835313.610031452 2578961.566252954)",,40,,,,,,6,1,4.61,196,300.0,65.0,3,62,70,33.0,1195.3284645869428
302478894,10542380575,0,27553135,primary,,Chowringhee Road,True,False,6.92267278468754,"LINESTRING (9835182.21963647 2579316.4521402363, 9835183.833769085 2579323.7813851503)",,,,,,,,1,2,4.61,196,300.0,65.0,3,62,72,5.0,71.21189285970036
302478894,10279712290,0,1124087857,secondary,,,True,False,15.379838187643832,"LINESTRING (9835182.21963647 2579316.4521402363, 9835166.033782508 2579312.4499881268)",,,,,,,,1,2,4.61,196,300.0,65.0,3,62,39,5.0,83.37764271817313
302478457,664472034,0,27553223,secondary,,Mirza Ghalib Street,False,True,87.18085295443873,"LINESTRING (9835662.195884923 2579163.105308076, 9835657.720841393 2579138.6225040336, 9835649.750365851 2579115.236698294, 9835644.974759696 2579070.5747225573)",,40,,,,,,4,0,4.61,196,300.0,65.0,3,62,23,34.0,273.0191541542509
302478457,664472041,0,27553236,secondary,,Surendra Nath Banerjee Road,True,False,155.22655863810945,"LINESTRING (9835662.195884923 2579163.105308076, 9835615.141136164 2579178.583377094, 9835582.379810024 2579189.3722265605, 9835570.769187132 2579192.422036674, 9835500.882810814 2579210.7450183034)",,40,,,,,,18,0,4.61,196,300.0,65.0,3,62,48,30.0,996.5049777555104
302478457,1270249929,0,52155576,secondary,,Hospital Street,False,False,136.86094823994193,"LINESTRING (9835662.195884923 2579163.105308076, 9835709.907418676 2579251.573998038, 9835732.627726747 2579293.692926625)",,40,,,,,,10,0,4.61,196,300.0,65.0,3,62,48,31.0,850.7190618620655
664472034,10943558270,0,27553223,secondary,,Mirza Ghalib Street,False,True,23.79506375091844,"LINESTRING (9835644.974759696 2579070.5747225573, 9835647.57963578 2579044.9107157513)",,40,,,,,,6,0,4.61,196,300.0,65.0,3,62,14,35.0,82.37570710154299
664472034,1270257371,0,52155574,tertiary,,Corporation Pl,False,False,115.04779910622071,"LINESTRING (9835644.974759696 2579070.5747225573, 9835523.859153714 2579100.349359716)",,40,,,,,,13,0,4.61,196,300.0,65.0,3,62,26,29.0,436.34913321140857
664472034,302478457,0,27553223,secondary,,Mirza Ghalib Street,False,False,87.18085295443873,"LINESTRING (9835644.974759696 2579070.5747225573, 9835649.750365851 2579115.236698294, 9835657.720841393 2579138.6225040336, 9835662.195884923 2579163.105308076)",,40,,,,,,4,0,4.61,196,300.0,65.0,3,62,73,29.0,796.1042718808833
664472041,1270249954,0,27553236,secondary,,Surendra Nath Banerjee Road,True,False,44.5216180704537,"LINESTRING (9835500.882810814 2579210.7450183034, 9835483.973380161 2579215.1811116296, 9835455.074840352 2579225.7891656873)",,40,,,,,,17,0,4.61,196,300.0,65.0,3,62,75,26.0,498.0945626340832
1270249929,664472044,0,52155576,secondary,,Hospital Street,False,False,59.539555328689595,"LINESTRING (9835732.627726747 2579293.692926625, 9835762.216447398 2579348.5658293962, 9835763.262850612 2579350.5066361725)",,40,,,,,,12,0,4.61,196,300.0,65.0,3,62,73,35.0,593.9665046793208
1270249929,302478457,0,52155576,secondary,,Hospital Street,False,True,136.86094823994193,"LINESTRING (9835732.627726747 2579293.692926625, 9835709.907418676 2579251.573998038, 9835662.195884923 2579163.105308076)",,40,,,,,,10,0,4.61,196,300.0,65.0,3,62,17,35.0,341.5963344094815
1270249929,1270249939,0,111507842,residential,,,False,True,102.15591794488918,"LINESTRING (9835732.627726747 2579293.692926625, 9835772.546896147 2579281.216358234, 9835790.302354928 2579273.875077442, 9835811.07457191 2579261.8445454855, 9835824.210271824 2579239.7484107744)",,,,,,,,26,0,4.61,196,300.0,65.0,3,62,34,5.0,559.1961452151478
1270249929,1270249876,0,111507847,residential,,Moni Lal Saha Ln,False,True,149.64516084494528,"LINESTRING (9835732.627726747 2579293.692926625, 9835686.263158832 2579325.734243716, 9835637.894840084 2579352.6162090125, 9835627.742502524 2579381.2702620407, 9835626.840814646 2579395.3984039696, 9835626.462328378 2579401.365498238)",,,,,,,,15,0,4.61,196,300.0,65.0,3,62,70,5.0,1344.4193510975404
302478462,10943558270,0,27553223,secondary,,Mirza Ghalib Street,False,False,31.80809633605631,"LINESTRING (9835650.529602287 2579010.555484487, 9835650.13998407 2579015.2326135505, 9835648.19189298 2579038.9196404866, 9835647.57963578 2579044.9107157513)",,40,,,,,,6,0,4.61,196,300.0,65.0,3,62,39,30.0,191.26189085274353
302478462,1270366842,0,27553223,secondary,,Mirza Ghalib Street,False,True,44.8055888833462,"LINESTRING (9835650.529602287 2579010.555484487, 9835638.328986097 2578970.3900901, 9835636.392026955 2578964.0856267437)",,40,,,,,,8,0,4.61,196,300.0,65.0,3,62,18,27.0,149.1800719880278
302478462,9189383158,0,995139938,residential,,,False,False,105.95324558871566,"LINESTRING (9835650.529602287 2579010.555484487, 9835627.775898369 2579013.400336029, 9835603.296742342 2579021.754076633, 9835596.628704844 2579022.031329279, 9835591.764043096 2579020.7173928665, 9835578.806454368 2578974.5850307136, 9835575.233098714 2578969.23286529)",,,,,,,,17,0,4.61,196,300.0,65.0,3,62,76,5.0,1063.6935997690869
10943558270,664472034,0,27553223,secondary,,Mirza Ghalib Street,False,False,23.79506375091844,"LINESTRING (9835647.57963578 2579044.9107157513, 9835644.974759696 2579070.5747225573)",,40,,,,,,6,0,4.61,196,300.0,65.0,3,62,32,29.0,133.7730448035268
10943558270,302478462,0,27553223,secondary,,Mirza Ghalib Street,False,True,31.80809633605631,"LINESTRING (9835647.57963578 2579044.9107157513, 9835648.19189298 2579038.9196404866, 9835650.13998407 2579015.2326135505, 9835650.529602287 2579010.555484487)",,40,,,,,,6,0,4.61,196,300.0,65.0,3,62,56,27.0,256.1504073782984
10943558270,10943558260,0,1178020752,residential,,,False,True,177.00878825248836,"LINESTRING (9835647.57963578 2579044.9107157513, 9835594.613822062 2579051.9143698546, 9835589.68236862 2579058.7010460948, 9835589.05897947 2579061.5459058755, 9835567.730165035 2579067.0307004713, 9835555.206722321 2579070.8881395133, 9835550.25300498 2579052.6617479194, 9835544.954197219 2579037.5092669455, 9835543.985717649 2579020.7294473285, 9835540.635000978 2578997.9465297014, 9835536.438256174 2578981.202913317)",,,,,,,,21,0,4.61,196,300.0,65.0,3,62,61,5.0,1413.104330008215
1270366842,664472036,0,27553223,secondary,,Mirza Ghalib Street,False,True,12.099398238569925,"LINESTRING (9835636.392026955 2578964.0856267437, 9835632.573768422 2578951.5369792613)",,40,,,,,,6,0,4.61,196,300.0,65.0,3,62,62,33.0,132.41952289496024
1270366842,302478462,0,27553223,secondary,,Mirza Ghalib Street,False,False,44.8055888833462,"LINESTRING (9835636.392026955 2578964.0856267437, 9835638.328986097 2578970.3900901, 9835650.529602287 2579010.555484487)",,40,,,,,,8,0,4.61,196,300.0,65.0,3,62,23,28.0,176.06342531803554
9189383158,10943558260,0,52155575,tertiary,,Market St,False,False,37.450700943002815,"LINESTRING (9835575.233098714 2578969.23286529, 9835536.438256174 2578981.202913317)",,40,,,,,,11,0,4.61,196,300.0,65.0,3,62,48,32.0,283.1160374316962
9189383158,664472036,0,52155575,tertiary,,Market St,False,True,55.3549835656457,"LINESTRING (9835575.233098714 2578969.23286529, 9835632.573768422 2578951.5369792613)",,40,,,,,,11,0,4.61,196,300.0,65.0,3,62,44,35.0,359.6743132266093
9189383158,302478462,0,995139938,residential,,,False,True,105.95324558871565,"LINESTRING (9835575.233098714 2578969.23286529, 9835578.806454368 2578974.5850307136, 9835591.764043096 2579020.7173928665, 9835596.628704844 2579022.031329279, 9835603.296742342 2579021.754076633, 9835627.775898369 2579013.400336029, 9835650.529602287 2579010.555484487)",,,,,,,,17,0,4.61,196,300.0,65.0,3,62,40,5.0,605.975578825835
